event_type,day_of_week,time_slot,weather,marketing_effort,social_media_reach,venue_capacity,is_holiday,competing_event,past_avg_attendance,attendance
Technical,Monday,Afternoon,Sunny,Low,4894,100,0,0,28.2,100
Seminar,Wednesday,Morning,Sunny,Medium,1337,200,0,0,36.5,91
Cultural,Tuesday,Evening,Sunny,Medium,5875,750,0,1,504.6,527
Workshop,Sunday,Evening,Cloudy,High,4599,200,0,0,20.0,133
Workshop,Friday,Morning,Sunny,Low,6692,100,0,0,20.0,100
Fest,Thursday,Evening,Sunny,High,2083,300,0,0,241.7,300
Fest,Sunday,Evening,Sunny,Medium,3950,150,0,0,157.8,150
Seminar,Friday,Morning,Sunny,Medium,6763,1000,0,0,211.1,227
Workshop,Friday,Evening,Sunny,Medium,100,1500,1,0,434.2,440
Cultural,Wednesday,Evening,Rainy,High,5481,300,0,0,181.3,300
Sports,Saturday,Morning,Sunny,High,100,200,0,0,20.0,84
Fest,Monday,Afternoon,Sunny,Medium,100,2000,0,0,1485.6,2000
Technical,Monday,Afternoon,Sunny,Medium,4772,200,1,0,54.4,139
Cultural,Thursday,Morning,Sunny,Low,1563,100,0,1,20.0,90
Cultural,Thursday,Morning,Cloudy,Low,3016,1500,0,0,871.8,724
Technical,Sunday,Morning,Sunny,Low,2961,1500,1,0,518.4,426
Workshop,Friday,Afternoon,Sunny,Medium,3478,1000,0,0,235.6,280
Sports,Friday,Afternoon,Sunny,Low,100,1000,0,0,426.6,382
Fest,Tuesday,Morning,Cloudy,Medium,1608,200,0,0,191.5,200
Sports,Saturday,Afternoon,Rainy,High,1995,300,0,1,76.3,140
Fest,Wednesday,Morning,Sunny,Low,3390,150,0,0,88.3,150
Sports,Monday,Morning,Rainy,Low,1430,500,0,0,364.4,183
Technical,Saturday,Evening,Rainy,Medium,4611,100,0,0,110.0,100
Workshop,Friday,Afternoon,Cloudy,Medium,3428,300,0,0,55.3,144
Cultural,Wednesday,Morning,Rainy,High,100,150,0,1,165.0,150
Technical,Friday,Morning,Cloudy,Low,1425,750,0,0,267.9,277
Cultural,Monday,Afternoon,Sunny,Low,5890,2000,0,0,1128.7,973
Workshop,Saturday,Evening,Cloudy,High,5713,150,0,1,138.6,150
Seminar,Tuesday,Afternoon,Sunny,Medium,3154,150,0,0,80.1,132
Seminar,Thursday,Morning,Sunny,High,100,300,1,0,106.7,105
Sports,Saturday,Evening,Sunny,Medium,4830,100,0,0,110.0,100
Seminar,Wednesday,Evening,Cloudy,High,4792,100,0,0,20.0,100
Fest,Sunday,Morning,Rainy,Medium,6164,2000,0,0,1563.6,1548
Workshop,Sunday,Evening,Cloudy,High,100,750,1,1,282.9,285
Cultural,Friday,Evening,Sunny,Medium,1193,300,0,0,233.2,300
Workshop,Thursday,Morning,Sunny,High,1448,200,0,0,20.0,104
Workshop,Monday,Afternoon,Sunny,Medium,2021,750,0,0,162.9,152
Seminar,Thursday,Morning,Sunny,Low,1382,1000,1,0,247.8,166
Cultural,Wednesday,Evening,Cloudy,Low,1568,750,1,0,438.1,459
Sports,Friday,Morning,Sunny,Medium,5824,2000,1,1,987.6,940
Fest,Tuesday,Evening,Sunny,Medium,5041,1000,0,1,669.4,881
Fest,Saturday,Evening,Cloudy,High,3373,300,0,0,219.7,300
Cultural,Wednesday,Evening,Cloudy,Medium,100,750,0,0,340.9,415
Technical,Sunday,Morning,Sunny,High,2515,100,0,0,72.9,100
Sports,Saturday,Afternoon,Sunny,Low,3925,150,0,1,132.9,150
Sports,Saturday,Morning,Sunny,Low,3656,200,0,0,49.6,142
Fest,Tuesday,Evening,Sunny,Low,8042,750,0,1,557.0,645
Technical,Sunday,Afternoon,Rainy,Medium,3302,750,0,0,344.9,241
Fest,Friday,Afternoon,Cloudy,Medium,4557,500,0,1,464.4,500
Cultural,Thursday,Evening,Sunny,Low,5240,200,0,0,131.9,200
Workshop,Wednesday,Evening,Cloudy,High,3552,150,0,0,20.0,112
Technical,Friday,Evening,Sunny,High,4967,1000,0,0,491.2,1000
Seminar,Saturday,Morning,Cloudy,High,6365,1000,0,0,138.4,177
Sports,Saturday,Evening,Rainy,High,5127,200,0,1,96.1,163
Seminar,Wednesday,Morning,Cloudy,Medium,3813,200,1,0,106.4,146
Seminar,Thursday,Morning,Sunny,Medium,826,1500,0,0,332.0,204
Cultural,Saturday,Afternoon,Sunny,Medium,4138,750,0,0,420.4,706
Workshop,Sunday,Morning,Sunny,Medium,3704,2000,0,0,489.4,344
Cultural,Wednesday,Afternoon,Cloudy,Medium,712,1000,0,0,516.0,621
Seminar,Tuesday,Evening,Rainy,Low,5580,150,0,0,20.0,117
Cultural,Saturday,Afternoon,Cloudy,Low,6231,2000,0,0,1144.7,1415
Workshop,Thursday,Evening,Sunny,Medium,2456,300,1,0,34.8,131
Sports,Saturday,Morning,Cloudy,Medium,4296,750,0,0,306.5,465
Sports,Wednesday,Evening,Cloudy,High,1162,150,0,0,165.0,150
Seminar,Thursday,Afternoon,Sunny,High,5909,200,0,0,20.0,124
Seminar,Tuesday,Morning,Sunny,Low,7057,500,1,0,56.8,137
Cultural,Tuesday,Morning,Sunny,Low,2957,750,0,0,375.8,305
Sports,Tuesday,Morning,Sunny,Low,3725,200,1,0,151.2,197
Cultural,Friday,Evening,Cloudy,Medium,3788,750,0,0,462.1,721
Cultural,Monday,Morning,Cloudy,Medium,2001,750,0,0,323.2,320
Workshop,Thursday,Morning,Cloudy,Low,5636,1500,1,0,448.7,325
Cultural,Sunday,Afternoon,Cloudy,Low,541,2000,1,0,1120.2,1155
Seminar,Wednesday,Evening,Rainy,Low,7599,300,0,1,67.5,91
Workshop,Sunday,Evening,Rainy,Medium,5663,1000,0,0,248.3,203
Technical,Friday,Afternoon,Rainy,Medium,100,1000,0,0,427.8,320
Sports,Thursday,Evening,Sunny,High,5028,1500,0,1,779.6,955
Fest,Monday,Evening,Rainy,Medium,3808,200,0,1,161.6,200
Sports,Tuesday,Morning,Sunny,High,1982,150,0,1,47.6,107
Fest,Wednesday,Afternoon,Sunny,Medium,1836,200,0,0,148.4,200
Technical,Friday,Morning,Cloudy,Low,2091,750,0,1,306.5,259
Fest,Sunday,Evening,Sunny,High,1053,500,0,0,489.2,500
Sports,Thursday,Evening,Sunny,High,3273,100,0,0,20.0,100
Cultural,Sunday,Evening,Rainy,Medium,5018,300,0,1,102.7,160
Cultural,Saturday,Evening,Sunny,Medium,3761,150,0,0,42.2,150
Sports,Saturday,Afternoon,Sunny,Medium,100,1500,0,1,840.6,885
Cultural,Sunday,Afternoon,Rainy,Medium,4306,750,0,1,479.3,326
Technical,Friday,Afternoon,Sunny,Low,100,300,0,1,134.0,138
Technical,Sunday,Morning,Cloudy,Medium,4236,150,0,0,20.0,124
Workshop,Thursday,Afternoon,Sunny,Low,6005,150,0,0,20.0,114
Cultural,Sunday,Afternoon,Sunny,High,7584,300,1,0,179.9,300
Fest,Monday,Afternoon,Sunny,Medium,4829,2000,0,1,1516.8,1576
Sports,Saturday,Evening,Sunny,Low,1980,750,1,1,372.1,533
Technical,Sunday,Afternoon,Sunny,Low,5751,100,0,1,20.0,86
Technical,Thursday,Afternoon,Rainy,Low,5481,300,1,0,122.0,145
Seminar,Friday,Evening,Rainy,Low,3518,100,0,1,98.0,100
Workshop,Sunday,Afternoon,Sunny,Medium,3985,1000,0,0,260.9,236
Workshop,Saturday,Afternoon,Cloudy,Medium,3012,750,0,0,149.6,190
Sports,Tuesday,Morning,Sunny,Low,1851,2000,0,0,951.9,674
Fest,Sunday,Afternoon,Sunny,High,2739,200,1,1,135.1,200
Cultural,Wednesday,Evening,Cloudy,Medium,5223,300,0,0,182.9,274
Workshop,Friday,Afternoon,Sunny,Medium,1937,200,0,0,20.0,94
Sports,Thursday,Morning,Sunny,Medium,6309,150,0,0,20.0,116
Workshop,Saturday,Evening,Cloudy,High,708,2000,0,0,585.5,697
Technical,Friday,Morning,Sunny,Medium,1921,1500,0,1,677.3,502
Seminar,Tuesday,Evening,Sunny,Low,2559,100,1,0,20.0,100
Workshop,Tuesday,Evening,Cloudy,Medium,2194,2000,0,0,574.5,383
Cultural,Thursday,Afternoon,Sunny,Medium,2348,100,0,1,20.0,100
Technical,Sunday,Evening,Sunny,High,4296,200,1,1,20.0,126
Workshop,Friday,Afternoon,Sunny,Low,2391,750,0,0,322.6,232
Technical,Saturday,Evening,Sunny,Medium,4475,100,0,0,20.0,95
Workshop,Tuesday,Morning,Cloudy,Low,3774,150,0,0,165.0,144
Seminar,Sunday,Morning,Cloudy,Medium,3295,300,1,1,182.0,146
Workshop,Saturday,Evening,Sunny,Medium,842,750,0,1,205.6,180
Sports,Saturday,Evening,Rainy,Low,5551,1000,0,0,402.5,394
Seminar,Friday,Morning,Cloudy,Low,6834,100,0,0,29.8,100
Fest,Sunday,Afternoon,Cloudy,Low,3981,1000,0,0,738.5,1000
Fest,Sunday,Evening,Sunny,Low,6416,150,1,0,26.5,150
Cultural,Saturday,Morning,Cloudy,Medium,3748,2000,0,0,1124.9,1319
Seminar,Thursday,Morning,Sunny,Medium,5006,750,0,0,205.8,175
Technical,Monday,Afternoon,Cloudy,Low,5223,750,0,1,320.5,205
Cultural,Saturday,Evening,Sunny,High,2363,1500,0,0,775.1,1500
Workshop,Thursday,Afternoon,Sunny,Medium,5087,300,0,1,169.4,156
Technical,Thursday,Afternoon,Sunny,Medium,5855,1000,0,0,412.2,465
Cultural,Friday,Afternoon,Cloudy,Medium,2395,1500,0,0,838.0,1120
Sports,Tuesday,Afternoon,Cloudy,Medium,5899,1500,0,0,716.1,631
Technical,Thursday,Afternoon,Sunny,Medium,1851,2000,0,0,839.0,795
Sports,Tuesday,Evening,Sunny,High,6240,150,0,0,20.0,133
Fest,Thursday,Morning,Sunny,High,4919,500,0,0,332.5,500
Cultural,Sunday,Evening,Cloudy,Medium,3173,300,0,0,262.2,300
Seminar,Friday,Morning,Rainy,Low,3008,1000,1,0,189.8,163
Workshop,Thursday,Afternoon,Cloudy,High,5219,2000,0,1,554.8,350
Cultural,Saturday,Morning,Sunny,Medium,6341,1500,1,1,773.2,795
Fest,Wednesday,Afternoon,Sunny,High,3234,150,0,0,93.9,150
Seminar,Tuesday,Evening,Rainy,Low,6156,1000,0,0,158.2,140
Cultural,Sunday,Afternoon,Rainy,Low,957,150,0,0,76.6,132
Cultural,Saturday,Evening,Sunny,Medium,2229,1000,0,0,558.2,815
Cultural,Monday,Evening,Cloudy,Medium,3800,1500,1,0,707.3,910
Seminar,Sunday,Evening,Sunny,Medium,100,300,0,0,20.0,66
Seminar,Thursday,Evening,Rainy,Low,2200,750,1,0,173.8,143
Seminar,Wednesday,Afternoon,Cloudy,Low,100,300,0,1,20.0,48
Workshop,Friday,Evening,Rainy,Medium,7126,2000,1,0,529.4,416
Fest,Friday,Afternoon,Sunny,Low,2481,500,0,0,428.0,500
Sports,Sunday,Evening,Cloudy,Low,3180,1500,0,0,768.7,857
Technical,Sunday,Afternoon,Sunny,High,2989,1500,1,0,695.9,1163
Seminar,Friday,Afternoon,Sunny,High,3721,200,0,0,20.0,119
Workshop,Thursday,Morning,Rainy,Medium,100,1000,0,0,343.3,147
Seminar,Tuesday,Evening,Rainy,Low,7356,300,0,0,88.5,132
Seminar,Thursday,Afternoon,Sunny,Low,2884,300,0,0,179.6,165
Cultural,Tuesday,Morning,Cloudy,Low,3854,1500,0,0,699.0,446
Seminar,Monday,Afternoon,Sunny,Low,4684,1000,0,0,229.3,176
Cultural,Wednesday,Evening,Rainy,Low,6763,1500,0,0,862.3,474
Sports,Monday,Afternoon,Sunny,Medium,1695,150,0,0,20.0,99
Sports,Saturday,Afternoon,Sunny,Low,4325,750,0,1,320.1,346
Cultural,Tuesday,Evening,Cloudy,High,6689,300,0,0,143.8,300
Cultural,Saturday,Afternoon,Cloudy,Medium,3221,150,0,0,154.8,150
Seminar,Tuesday,Afternoon,Sunny,Low,1259,750,0,0,169.0,135
Seminar,Saturday,Evening,Sunny,Medium,3106,500,0,0,84.6,167
Fest,Friday,Evening,Cloudy,Low,4266,100,0,0,76.3,100
Workshop,Thursday,Evening,Rainy,Medium,4021,1000,1,1,292.9,194
Seminar,Tuesday,Morning,Sunny,Medium,1654,200,0,0,101.5,125
Cultural,Tuesday,Afternoon,Sunny,Low,4311,1000,0,0,538.5,506
Workshop,Sunday,Evening,Rainy,High,2217,1000,0,1,310.5,252
Technical,Sunday,Morning,Cloudy,Medium,5115,300,0,1,90.5,110
Cultural,Wednesday,Afternoon,Sunny,Low,3484,750,0,1,270.2,305
Sports,Friday,Evening,Sunny,Low,2166,300,0,0,154.4,236
Seminar,Wednesday,Afternoon,Sunny,High,2691,500,0,0,132.0,164
Seminar,Saturday,Morning,Sunny,Medium,4437,200,0,1,124.0,109
Cultural,Wednesday,Evening,Cloudy,High,1395,200,0,0,155.6,200
Workshop,Wednesday,Evening,Sunny,High,3268,500,0,1,205.9,199
Seminar,Monday,Evening,Rainy,Medium,440,500,0,0,187.8,138
Workshop,Tuesday,Morning,Sunny,Medium,3490,100,1,0,49.7,100
Fest,Saturday,Morning,Rainy,Low,3579,500,0,0,430.7,407
Seminar,Thursday,Afternoon,Cloudy,Medium,3900,2000,0,0,430.8,268
Fest,Sunday,Evening,Sunny,Low,2528,750,0,0,548.9,750
Technical,Monday,Evening,Rainy,High,4912,200,0,0,55.0,146
Technical,Wednesday,Afternoon,Sunny,Medium,4829,500,0,0,83.9,174
Seminar,Wednesday,Afternoon,Cloudy,Medium,3913,150,0,0,20.0,114
Workshop,Monday,Morning,Sunny,High,3492,300,1,0,121.9,186
Fest,Thursday,Morning,Rainy,Low,4829,200,0,1,109.1,110
Technical,Sunday,Afternoon,Sunny,Medium,5361,200,0,0,20.0,120
Technical,Tuesday,Morning,Sunny,Medium,849,2000,0,0,882.6,648
Workshop,Wednesday,Afternoon,Sunny,Low,745,2000,0,0,539.2,270
Sports,Friday,Morning,Sunny,Low,2241,300,0,0,112.8,162
Workshop,Sunday,Evening,Sunny,Low,2123,500,0,0,123.8,145
Technical,Friday,Afternoon,Cloudy,Medium,4984,100,0,1,20.0,95
Workshop,Friday,Evening,Sunny,Low,5032,500,0,1,159.7,167
Technical,Thursday,Afternoon,Sunny,High,1582,150,0,0,116.1,150
Technical,Monday,Evening,Sunny,Medium,647,200,1,0,90.9,157
Cultural,Sunday,Afternoon,Sunny,High,6961,300,0,0,114.9,300
Seminar,Sunday,Morning,Rainy,Low,6077,200,0,0,20.0,121
Fest,Monday,Afternoon,Sunny,Medium,1126,300,1,1,214.6,300
Technical,Thursday,Evening,Cloudy,High,3155,150,0,0,73.3,150
Sports,Sunday,Morning,Cloudy,Medium,113,750,0,0,398.0,378
Workshop,Tuesday,Morning,Rainy,Medium,5319,150,0,1,64.1,85
Workshop,Saturday,Afternoon,Sunny,Medium,4728,1500,0,0,360.3,393
Sports,Saturday,Evening,Sunny,Low,4538,1000,0,0,453.2,671
Cultural,Thursday,Morning,Sunny,Low,410,100,1,0,22.6,88
Cultural,Friday,Afternoon,Rainy,Medium,100,100,0,0,103.8,100
Fest,Tuesday,Afternoon,Sunny,Medium,714,2000,0,0,1547.9,2000
Fest,Tuesday,Evening,Rainy,Medium,4753,200,0,0,169.8,200
Technical,Tuesday,Morning,Sunny,Low,4936,300,0,0,118.0,144
Sports,Saturday,Evening,Sunny,Medium,3571,200,0,0,84.3,187
Technical,Wednesday,Evening,Sunny,Low,1151,2000,1,0,802.7,775
Fest,Friday,Evening,Cloudy,Low,5760,2000,0,1,1545.0,2000
Cultural,Sunday,Afternoon,Cloudy,High,6050,200,0,0,157.5,200
Fest,Sunday,Morning,Cloudy,Medium,4026,750,0,0,595.5,750
Sports,Tuesday,Evening,Cloudy,High,4489,1500,0,1,715.2,806
Cultural,Sunday,Morning,Sunny,Medium,924,200,1,0,153.4,200
Seminar,Friday,Afternoon,Sunny,Medium,1920,300,0,0,67.4,128
Technical,Wednesday,Morning,Sunny,High,6677,200,0,0,86.3,194
Seminar,Tuesday,Afternoon,Sunny,Low,100,750,0,0,176.5,132
Cultural,Thursday,Morning,Rainy,High,7555,1500,0,0,851.2,792
Cultural,Sunday,Morning,Cloudy,Low,4919,2000,0,0,1137.1,844
Seminar,Sunday,Morning,Sunny,Medium,3243,2000,0,0,367.5,224
Seminar,Thursday,Afternoon,Cloudy,Medium,5917,150,0,0,31.7,116
Technical,Wednesday,Evening,Rainy,Medium,100,150,0,0,20.0,64
Seminar,Saturday,Evening,Sunny,Medium,7799,200,0,0,155.0,200
Technical,Monday,Afternoon,Sunny,High,4253,150,0,0,59.8,134
Technical,Sunday,Morning,Rainy,High,4114,2000,0,0,835.1,742
Cultural,Monday,Afternoon,Sunny,Low,2940,1500,1,1,865.8,605
Cultural,Saturday,Afternoon,Rainy,Medium,2743,200,0,0,118.7,200
Sports,Thursday,Evening,Sunny,Medium,6479,150,0,0,161.8,150
Fest,Tuesday,Afternoon,Cloudy,High,4142,1500,0,0,1133.8,1500
Sports,Friday,Evening,Sunny,Low,1545,1000,0,0,524.0,629
Cultural,Sunday,Morning,Rainy,Low,3881,1500,0,0,822.8,530
Technical,Wednesday,Evening,Sunny,Medium,2455,200,1,0,158.1,200
Seminar,Monday,Evening,Sunny,Medium,3055,100,0,0,20.0,100
Cultural,Wednesday,Morning,Rainy,Medium,5443,150,0,0,102.6,150
Workshop,Wednesday,Morning,Sunny,Low,746,1500,0,1,325.5,135
Fest,Sunday,Evening,Cloudy,Low,4706,300,0,0,20.0,153
Seminar,Wednesday,Evening,Sunny,High,6202,200,1,1,122.6,189
Sports,Tuesday,Morning,Sunny,High,4110,300,0,0,123.1,230
Sports,Tuesday,Evening,Sunny,Low,3355,500,0,0,299.1,351
Workshop,Saturday,Afternoon,Sunny,Medium,3327,150,1,0,165.0,150
Seminar,Saturday,Morning,Cloudy,Low,3582,1500,0,0,422.1,221
Technical,Saturday,Morning,Sunny,Medium,3152,1000,0,1,473.0,435
Technical,Wednesday,Afternoon,Sunny,Medium,2911,750,0,1,405.9,312
Sports,Thursday,Afternoon,Sunny,High,100,100,1,0,20.0,98
Technical,Thursday,Morning,Cloudy,Medium,3999,500,0,0,178.8,212
Cultural,Monday,Morning,Sunny,Medium,1965,2000,0,1,1012.5,647
Seminar,Tuesday,Afternoon,Cloudy,Low,4198,1500,0,0,351.2,222
Workshop,Thursday,Evening,Sunny,High,6356,100,0,1,52.4,100
Fest,Tuesday,Morning,Sunny,High,4454,1000,1,0,751.1,1000
Workshop,Wednesday,Evening,Sunny,Medium,4951,300,1,0,108.2,159
Fest,Wednesday,Morning,Sunny,Medium,4931,500,0,0,531.2,500
Sports,Saturday,Morning,Sunny,High,2126,750,0,0,405.9,750
Cultural,Thursday,Afternoon,Sunny,Medium,3269,1000,0,1,598.6,657
Sports,Saturday,Afternoon,Sunny,High,3683,1000,0,0,360.9,670
Technical,Sunday,Afternoon,Cloudy,Low,1142,300,1,1,114.3,151
Fest,Sunday,Evening,Sunny,Medium,389,500,0,0,327.9,500
Sports,Friday,Afternoon,Sunny,Low,3672,300,0,1,117.1,151
Fest,Thursday,Afternoon,Sunny,Low,3446,750,0,1,608.4,585
Sports,Wednesday,Afternoon,Cloudy,High,3460,100,0,1,87.1,100
Technical,Thursday,Evening,Cloudy,High,1923,750,0,0,393.9,621
Technical,Saturday,Morning,Cloudy,Medium,3420,500,1,0,128.2,269
Workshop,Friday,Afternoon,Cloudy,Low,2321,100,1,0,20.0,100
Cultural,Monday,Morning,Sunny,Low,4677,1500,1,1,865.0,502
Technical,Thursday,Afternoon,Cloudy,Medium,3775,150,0,0,108.4,150
Seminar,Tuesday,Morning,Sunny,Low,5352,100,0,0,76.7,100
Sports,Saturday,Morning,Sunny,High,4571,200,0,1,220.0,200
Cultural,Saturday,Morning,Cloudy,Medium,1204,1000,0,1,595.7,613
Technical,Thursday,Evening,Cloudy,Medium,100,100,0,1,20.0,55
Fest,Friday,Afternoon,Cloudy,Medium,5952,500,0,0,340.3,500
Fest,Saturday,Morning,Sunny,Medium,1361,2000,0,1,1550.3,2000
Fest,Saturday,Morning,Sunny,Low,100,2000,0,1,1524.3,1557
Fest,Thursday,Morning,Rainy,Medium,5351,500,0,0,393.8,489
Cultural,Tuesday,Evening,Cloudy,High,4220,1000,0,0,580.3,954
Technical,Friday,Evening,Sunny,Medium,2485,750,0,0,398.0,594
Workshop,Tuesday,Afternoon,Cloudy,Medium,6088,1000,0,1,259.9,219
Seminar,Monday,Afternoon,Sunny,High,1725,200,0,0,44.7,102
Seminar,Thursday,Afternoon,Sunny,High,1568,150,0,0,20.0,92
Cultural,Friday,Evening,Cloudy,Medium,1232,200,0,0,126.3,200
Workshop,Saturday,Afternoon,Cloudy,Low,2289,1500,0,0,456.5,352
Fest,Tuesday,Afternoon,Sunny,Medium,5436,100,0,0,110.0,100
Fest,Sunday,Afternoon,Sunny,Medium,4642,300,0,0,266.3,300
Cultural,Wednesday,Morning,Sunny,High,100,150,0,0,148.0,150
Technical,Monday,Morning,Sunny,Low,100,300,0,0,122.4,98
Seminar,Monday,Evening,Sunny,High,5120,500,0,0,180.3,214
Workshop,Thursday,Afternoon,Sunny,Medium,3946,1500,1,0,340.6,352
Seminar,Tuesday,Morning,Rainy,Medium,3920,200,0,0,20.0,109
Workshop,Monday,Evening,Cloudy,Medium,1488,2000,0,0,491.4,361
Seminar,Tuesday,Afternoon,Sunny,Medium,2162,1500,0,0,357.7,262
Fest,Thursday,Evening,Sunny,Medium,1389,150,0,0,131.7,150
Workshop,Tuesday,Evening,Rainy,High,4851,100,0,1,20.0,75
Technical,Friday,Evening,Sunny,High,2120,100,0,0,45.0,100
Technical,Sunday,Morning,Sunny,Medium,910,150,0,0,20.0,97
Workshop,Thursday,Afternoon,Rainy,Medium,8643,750,1,1,71.3,123
Cultural,Tuesday,Morning,Sunny,High,2385,500,0,1,198.1,210
Fest,Wednesday,Evening,Sunny,High,6685,500,0,0,427.3,500
Workshop,Friday,Morning,Sunny,High,2549,1000,1,1,190.3,223
Sports,Sunday,Afternoon,Sunny,High,4788,2000,0,0,896.2,1425
Technical,Friday,Evening,Cloudy,Medium,2120,1500,0,0,633.9,695
Cultural,Thursday,Morning,Cloudy,Low,5817,1000,0,1,557.0,441
Technical,Wednesday,Morning,Rainy,Medium,3043,150,0,0,74.9,125
Cultural,Saturday,Morning,Sunny,Low,871,1500,0,0,872.6,961
Fest,Saturday,Morning,Sunny,Low,4219,300,0,0,207.6,300
Sports,Thursday,Afternoon,Sunny,High,7528,500,0,0,275.7,500
Cultural,Friday,Evening,Sunny,Low,4346,200,0,0,20.0,138
Fest,Saturday,Morning,Cloudy,High,3111,300,1,0,208.7,300
Sports,Thursday,Evening,Sunny,High,5009,500,0,0,116.7,282
Fest,Wednesday,Evening,Rainy,Medium,2677,1000,0,0,836.3,1000
Fest,Saturday,Morning,Sunny,Medium,948,2000,0,0,1556.2,2000
Technical,Monday,Afternoon,Sunny,Medium,1397,500,0,0,60.6,128
Fest,Thursday,Afternoon,Sunny,Medium,3216,100,0,0,20.0,100
Seminar,Sunday,Evening,Sunny,Medium,1209,200,0,0,93.1,165
Sports,Friday,Morning,Rainy,Low,5080,300,0,0,190.9,183
Seminar,Sunday,Morning,Sunny,Medium,1388,300,0,0,46.3,125
Workshop,Wednesday,Afternoon,Sunny,Medium,6839,500,1,0,147.4,252
Technical,Saturday,Afternoon,Rainy,Medium,4779,300,0,0,164.5,218
Sports,Sunday,Morning,Sunny,Low,5262,100,0,0,20.0,89
Cultural,Sunday,Afternoon,Cloudy,Medium,714,200,1,0,73.7,178
Workshop,Sunday,Morning,Sunny,Medium,3550,1500,0,0,412.1,327
Workshop,Monday,Morning,Sunny,Medium,4318,500,0,0,120.9,148
Workshop,Sunday,Evening,Sunny,Medium,4417,1000,0,0,293.9,303
Seminar,Thursday,Morning,Rainy,High,4040,2000,0,1,427.0,175
Technical,Saturday,Morning,Sunny,Low,3815,150,0,0,20.0,119
Fest,Tuesday,Evening,Rainy,Medium,5222,1000,0,0,819.5,901
Technical,Wednesday,Evening,Cloudy,Low,3681,500,0,1,193.3,189
Fest,Wednesday,Evening,Sunny,Medium,6698,2000,0,0,1583.8,2000
Sports,Friday,Evening,Sunny,Low,5524,1500,1,1,778.1,741
Cultural,Wednesday,Afternoon,Rainy,Medium,3514,150,0,0,20.0,119
Cultural,Monday,Evening,Sunny,Low,4933,2000,0,0,1061.5,1242
Fest,Monday,Morning,Cloudy,High,4219,300,1,1,202.6,289
Cultural,Saturday,Afternoon,Rainy,Low,2816,500,0,0,350.3,342
Cultural,Monday,Evening,Sunny,Medium,2957,750,0,0,424.1,559
Fest,Friday,Evening,Sunny,High,2966,1500,1,0,1049.0,1500
Sports,Monday,Morning,Cloudy,Low,5447,2000,0,0,967.9,547
Sports,Friday,Afternoon,Sunny,Medium,1427,100,0,1,34.4,100
Fest,Wednesday,Afternoon,Sunny,Low,252,1500,0,0,1140.3,1324
Cultural,Friday,Afternoon,Rainy,Medium,100,1000,0,0,501.5,596
Seminar,Monday,Morning,Cloudy,Medium,6106,100,1,1,29.1,98
Workshop,Friday,Afternoon,Sunny,Medium,4745,200,0,0,138.5,171
Technical,Thursday,Afternoon,Sunny,High,5239,300,0,0,68.1,180
Technical,Wednesday,Evening,Sunny,Medium,1175,750,0,0,367.1,417
Workshop,Monday,Afternoon,Sunny,Medium,2350,200,0,0,20.0,88
Technical,Wednesday,Morning,Sunny,Low,4228,500,0,0,263.4,203
Sports,Thursday,Afternoon,Cloudy,Medium,248,200,0,1,20.0,65
Workshop,Friday,Afternoon,Sunny,Medium,3287,100,1,0,50.2,100
Technical,Thursday,Evening,Cloudy,Medium,3754,750,0,0,311.3,391
Sports,Saturday,Afternoon,Sunny,Low,7362,1500,0,0,663.6,803
Seminar,Saturday,Afternoon,Rainy,Medium,558,150,1,0,82.1,134
Seminar,Saturday,Afternoon,Sunny,Low,1722,200,0,0,20.0,109
Technical,Sunday,Evening,Sunny,Medium,1144,300,0,0,330.0,300
Seminar,Thursday,Morning,Cloudy,Medium,1804,150,1,0,21.5,103
Seminar,Thursday,Afternoon,Cloudy,Low,1922,500,0,0,96.8,106
Sports,Friday,Afternoon,Sunny,Low,5421,200,0,1,101.4,158
Technical,Saturday,Afternoon,Cloudy,Medium,4438,200,0,1,122.0,191
Cultural,Wednesday,Afternoon,Cloudy,High,3312,1000,0,0,505.8,703
Technical,Saturday,Afternoon,Cloudy,Low,5701,100,0,0,20.0,100
Fest,Sunday,Evening,Sunny,Medium,2433,300,0,0,223.4,300
Cultural,Thursday,Afternoon,Cloudy,Low,3850,100,1,1,67.7,100
Workshop,Tuesday,Morning,Sunny,High,4548,1500,0,0,373.9,329
Technical,Thursday,Evening,Sunny,Medium,2382,100,0,1,20.0,90
Workshop,Tuesday,Morning,Cloudy,Low,6637,200,0,0,96.0,144
Cultural,Monday,Morning,Sunny,Low,2915,500,0,1,250.8,211
Workshop,Tuesday,Morning,Sunny,Low,4853,150,0,0,20.0,105
Workshop,Saturday,Evening,Sunny,Medium,2608,1500,0,0,535.7,582
Fest,Tuesday,Afternoon,Cloudy,Low,748,100,0,0,110.0,100
Technical,Saturday,Afternoon,Sunny,High,4393,1500,0,0,599.2,1274
Sports,Thursday,Morning,Cloudy,Medium,4746,2000,0,0,806.2,672
Cultural,Friday,Evening,Cloudy,Medium,4497,2000,1,0,1145.2,2000
Cultural,Tuesday,Morning,Sunny,High,1053,2000,0,1,1111.5,1079
Fest,Wednesday,Morning,Sunny,High,2373,750,0,0,579.3,750
Workshop,Monday,Evening,Cloudy,Medium,1482,150,0,0,20.0,95
Sports,Thursday,Morning,Cloudy,Medium,3824,200,1,1,31.6,103
Seminar,Friday,Afternoon,Cloudy,Medium,2656,300,0,0,77.6,147
